accuracy,auc,classifier,f1,parameters,precision,recall,split,threshold
0.9498502994011976,0.8599447695443488,DT,0.814404432132964,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.91875,0.7313432835820896,1,12
0.9236526946107785,0.8629495693339471,DT,0.7536231884057972,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.7323943661971831,0.7761194029850746,1,16
0.907185628742515,0.8860104762530958,DT,0.7350427350427351,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",0.6441947565543071,0.8557213930348259,1,20
0.9139221556886228,0.7896705897823657,DT,0.6814404432132963,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.76875,0.6119402985074627,1,12
0.9296407185628742,0.8746619326276108,DT,0.7729468599033815,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.7511737089201878,0.7960199004975125,1,16
0.8952095808383234,0.8625857496657681,DT,0.7008547008547007,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': None, 'min_samples_split': 5}",0.6142322097378277,0.8159203980099502,1,20
0.9438622754491018,0.848232406250685,DT,0.7922437673130194,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.89375,0.7114427860696517,1,12
0.9341317365269461,0.8834462050978587,DT,0.7874396135265701,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.7652582159624414,0.8109452736318408,1,16
0.905688622754491,0.8830823854296799,DT,0.7307692307692307,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': None, 'min_samples_split': 10}",0.6404494382022472,0.8507462686567164,1,20
0.9468562874251497,0.8540885878975168,SVM,0.8033240997229918,{'C': 0.01},0.90625,0.7213930348258707,1,12
0.9550898203592815,0.9244394766256823,SVM,0.8550724637681161,{'C': 0.01},0.8309859154929577,0.8805970149253731,1,16
0.9266467065868264,0.9240756569575032,SVM,0.7905982905982906,{'C': 0.01},0.6928838951310862,0.9203980099502488,1,20
0.9453592814371258,0.8511604970741008,SVM,0.7977839335180056,{'C': 0.1},0.9,0.7164179104477612,1,12
0.9505988023952096,0.9156552041554342,SVM,0.8405797101449274,{'C': 0.1},0.8169014084507042,0.8656716417910447,1,16
0.9326347305389222,0.9357880202511671,SVM,0.8076923076923077,{'C': 0.1},0.7078651685393258,0.9402985074626866,1,20
0.9483532934131736,0.8570166787209327,RF,0.8088642659279778,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.9125,0.7263681592039801,1,12
0.9520958083832335,0.9185832949788503,RF,0.8454106280193237,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8215962441314554,0.8706467661691543,1,16
0.9221556886227545,0.9152913844872553,RF,0.7777777777777778,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.6816479400749064,0.9054726368159204,1,20
0.9468562874251497,0.8540885878975168,RF,0.8033240997229918,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.90625,0.7213930348258707,1,12
0.9535928143712575,0.9215113858022662,RF,0.8502415458937198,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8262910798122066,0.8756218905472637,1,16
0.9221556886227545,0.9152913844872553,RF,0.7777777777777778,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.6816479400749064,0.9054726368159204,1,20
0.9483532934131736,0.8570166787209327,RF,0.8088642659279778,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.9125,0.7263681592039801,1,12
0.9520958083832335,0.9185832949788503,RF,0.8454106280193237,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8215962441314554,0.8706467661691543,1,16
0.9221556886227545,0.9152913844872553,RF,0.7777777777777778,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.6816479400749064,0.9054726368159204,1,20
0.9483532934131736,0.8570166787209327,RF,0.8088642659279778,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.9125,0.7263681592039801,1,12
0.9535928143712575,0.9215113858022662,RF,0.8502415458937198,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.8262910798122066,0.8756218905472637,1,16
0.9221556886227545,0.9152913844872553,RF,0.7777777777777778,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.6816479400749064,0.9054726368159204,1,20
0.9468562874251497,0.8540885878975168,RF,0.8033240997229918,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.90625,0.7213930348258707,1,12
0.9505988023952096,0.9156552041554342,RF,0.8405797101449274,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.8169014084507042,0.8656716417910447,1,16
0.9221556886227545,0.9152913844872553,RF,0.7777777777777778,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.6816479400749064,0.9054726368159204,1,20
0.9483532934131736,0.8570166787209327,RF,0.8088642659279778,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.9125,0.7263681592039801,1,12
0.9535928143712575,0.9215113858022662,RF,0.8502415458937198,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.8262910798122066,0.8756218905472637,1,16
0.9221556886227545,0.9152913844872553,RF,0.7777777777777778,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.6816479400749064,0.9054726368159204,1,20
0.9468562874251497,0.8540885878975168,RF,0.8033240997229918,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.90625,0.7213930348258707,1,12
0.9505988023952096,0.9156552041554342,RF,0.8405797101449274,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.8169014084507042,0.8656716417910447,1,16
0.9221556886227545,0.9152913844872553,RF,0.7777777777777778,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.6816479400749064,0.9054726368159204,1,20
0.9483532934131736,0.8570166787209327,RF,0.8088642659279778,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.9125,0.7263681592039801,1,12
0.9520958083832335,0.9185832949788503,RF,0.8454106280193237,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.8215962441314554,0.8706467661691543,1,16
0.9221556886227545,0.9152913844872553,RF,0.7777777777777778,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.6816479400749064,0.9054726368159204,1,20
0.9513473053892215,0.8628728603677647,RF,0.8199445983379502,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.925,0.736318407960199,1,12
0.9535928143712575,0.9215113858022662,RF,0.8502415458937198,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.8262910798122066,0.8756218905472637,1,16
0.9311377245508982,0.9328599294277511,RF,0.8034188034188035,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.704119850187266,0.9353233830845771,1,20
0.9543413173652695,0.8687290420145967,RF,0.8310249307479225,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.9375,0.746268656716418,1,12
0.9565868263473054,0.9273675674490981,RF,0.859903381642512,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.8356807511737089,0.8855721393034826,1,16
0.9326347305389222,0.9357880202511671,RF,0.8076923076923077,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1000}",0.7078651685393258,0.9402985074626866,1,20
0.9513473053892215,0.8628728603677647,RF,0.8199445983379502,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.925,0.736318407960199,1,12
0.9520958083832335,0.9185832949788503,RF,0.8454106280193237,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8215962441314554,0.8706467661691543,1,16
0.9296407185628742,0.9299318386043351,RF,0.7991452991452992,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.700374531835206,0.9303482587064676,1,20
0.9543413173652695,0.8687290420145967,RF,0.8310249307479225,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.9375,0.746268656716418,1,12
0.9550898203592815,0.9244394766256823,RF,0.8550724637681161,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.8309859154929577,0.8805970149253731,1,16
0.9326347305389222,0.9357880202511671,RF,0.8076923076923077,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1000}",0.7078651685393258,0.9402985074626866,1,20
0.9498502994011976,0.8599447695443488,RF,0.814404432132964,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.91875,0.7313432835820896,1,12
0.9505988023952096,0.9156552041554342,RF,0.8405797101449274,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.8169014084507042,0.8656716417910447,1,16
0.9266467065868264,0.9240756569575032,RF,0.7905982905982906,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.6928838951310862,0.9203980099502488,1,20
0.9528443113772455,0.8658009511911805,RF,0.8254847645429363,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.93125,0.7412935323383084,1,12
0.9550898203592815,0.9244394766256823,RF,0.8550724637681161,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.8309859154929577,0.8805970149253731,1,16
0.9311377245508982,0.9328599294277511,RF,0.8034188034188035,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1000}",0.704119850187266,0.9353233830845771,1,20
0.9498502994011976,0.8599447695443488,RF,0.814404432132964,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.91875,0.7313432835820896,1,12
0.9535928143712575,0.9215113858022662,RF,0.8502415458937198,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.8262910798122066,0.8756218905472637,1,16
0.9236526946107785,0.9182194753106713,RF,0.7820512820512822,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.6853932584269663,0.9104477611940298,1,20
0.9528443113772455,0.8658009511911805,RF,0.8254847645429363,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.93125,0.7412935323383084,1,12
0.9550898203592815,0.9244394766256823,RF,0.8550724637681161,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.8309859154929577,0.8805970149253731,1,16
0.9311377245508982,0.9328599294277511,RF,0.8034188034188035,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1000}",0.704119850187266,0.9353233830845771,1,20
0.9498502994011976,0.8599447695443488,GB,0.814404432132964,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.1}",0.91875,0.7313432835820896,1,12
0.9491017964071856,0.9127271133320183,GB,0.8357487922705313,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.1}",0.812206572769953,0.8606965174129353,1,16
0.9281437125748503,0.9270037477809192,GB,0.794871794871795,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.1}",0.6966292134831461,0.9253731343283582,1,20
0.9543413173652695,0.8687290420145967,GB,0.8310249307479225,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.5}",0.9375,0.746268656716418,1,12
0.9535928143712575,0.9215113858022662,GB,0.8502415458937198,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.5}",0.8262910798122066,0.8756218905472637,1,16
0.9311377245508982,0.9328599294277511,GB,0.8034188034188035,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.5}",0.704119850187266,0.9353233830845771,1,20
0.9498502994011976,0.8599447695443488,GB,0.814404432132964,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000, 'subsample': 0.1}",0.91875,0.7313432835820896,1,12
0.9505988023952096,0.9156552041554342,GB,0.8405797101449274,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000, 'subsample': 0.1}",0.8169014084507042,0.8656716417910447,1,16
0.9326347305389222,0.9357880202511671,GB,0.8076923076923077,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000, 'subsample': 0.1}",0.7078651685393258,0.9402985074626866,1,20
0.9543413173652695,0.8687290420145967,GB,0.8310249307479225,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000, 'subsample': 0.5}",0.9375,0.746268656716418,1,12
0.9565868263473054,0.9273675674490981,GB,0.859903381642512,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000, 'subsample': 0.5}",0.8356807511737089,0.8855721393034826,1,16
0.9326347305389222,0.9357880202511671,GB,0.8076923076923077,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000, 'subsample': 0.5}",0.7078651685393258,0.9402985074626866,1,20
0.9498502994011976,0.8599447695443488,GB,0.814404432132964,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.1}",0.91875,0.7313432835820896,1,12
0.9476047904191617,0.9097990225086025,GB,0.8309178743961352,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.1}",0.8075117370892019,0.8557213930348259,1,16
0.9296407185628742,0.9299318386043351,GB,0.7991452991452992,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.1}",0.700374531835206,0.9303482587064676,1,20
0.9513473053892215,0.8628728603677647,GB,0.8199445983379502,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.5}",0.925,0.736318407960199,1,12
0.9580838323353293,0.9302956582725141,GB,0.8647342995169083,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.5}",0.8403755868544601,0.8905472636815921,1,16
0.9296407185628742,0.9299318386043351,GB,0.7991452991452992,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.5}",0.700374531835206,0.9303482587064676,1,20
0.9498502994011976,0.8599447695443488,GB,0.814404432132964,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1000, 'subsample': 0.1}",0.91875,0.7313432835820896,1,12
0.9535928143712575,0.9215113858022662,GB,0.8502415458937198,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1000, 'subsample': 0.1}",0.8262910798122066,0.8756218905472637,1,16
0.9311377245508982,0.9328599294277511,GB,0.8034188034188035,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1000, 'subsample': 0.1}",0.704119850187266,0.9353233830845771,1,20
0.9513473053892215,0.8628728603677647,GB,0.8199445983379502,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1000, 'subsample': 0.5}",0.925,0.736318407960199,1,12
0.9565868263473054,0.9273675674490981,GB,0.859903381642512,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1000, 'subsample': 0.5}",0.8356807511737089,0.8855721393034826,1,16
0.9341317365269461,0.938716111074583,GB,0.811965811965812,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 1000, 'subsample': 0.5}",0.7116104868913857,0.945273631840796,1,20
0.9483532934131736,0.8570166787209327,GB,0.8088642659279778,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.1}",0.9125,0.7263681592039801,1,12
